Plot Title: Parking Lot_PSB 2020,,,,,,,,,,
#,"Date Time, GMT-05:00","Wind Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Gust Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Wind Direction, ø (LGR S/N: 20702489, SEN S/N: 20496534)","MRT, °F (LGR S/N: 20702489, SEN S/N: 20693834)","Temp, °F (LGR S/N: 20702489, SEN S/N: 20698453)","RH, % (LGR S/N: 20702489, SEN S/N: 20698453)","Solar Radiation, W/m² (LGR S/N: 20702489, SEN S/N: 20702166)","DewPt, °F (LGR S/N: 20702489, SEN S/N: 20698453)","SkyCover, Fraction (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)"
1,01/01/20 12:00:00 AM,1.2830048,2.837213867,51.4,0.503611111,0.641388889,65.13333333,0.6,-5.194444444,1
2,01/01/20 01:00:00 AM,0.89408,2.225514133,52.8,0.273333333,0.384259259,67.45,0.6,-4.925925926,1
3,01/01/20 02:00:00 AM,1.1712448,3.5629088,51.86666667,0.157685185,0.273240741,68.66666667,0.6,-4.814814815,1
4,01/01/20 03:00:00 AM,1.004349867,2.4453088,46.71666667,0.065277778,0.153333333,70.85,0.6,-4.518518519,1
5,01/01/20 04:00:00 AM,1.004349867,3.396013867,216.35,-0.283703704,-0.325462963,73.8,0.6,-4.425925926,1
6,01/01/20 05:00:00 AM,0.8359648,2.895329067,203.4166667,-0.666481482,-0.615,77.61666667,0.6,-4.055555556,1
7,01/01/20 06:00:00 AM,1.002859733,2.893838933,86.56666667,-0.344074074,-0.167037037,73.61666667,0.6,-4.314814815,1
8,01/01/20 07:00:00 AM,1.226379733,2.948973867,48.6,-0.152685185,-0.032037037,71.35,0.6,-4.592592593,1
9,01/01/20 08:00:00 AM,1.116109867,2.8923488,48.35,-0.157222222,-0.060092593,71.9,3.75,-4.537037037,1
10,01/01/20 09:00:00 AM,1.0013696,2.391664,44.85,-0.041481482,-0.106296296,71.9,11.66666667,-4.574074074,0.8
11,01/01/20 10:00:00 AM,1.060974933,3.060733867,47.18333333,0.649351852,0.259166667,70.85,50.41666667,-4.388888889,1
12,01/01/20 11:00:00 AM,1.5601696,3.841563733,50.7,1.691666667,1.066388889,66.9,74.35,-4.407407407,1
13,01/01/20 12:00:00 PM,1.451389867,3.953323733,49.98333333,1.728148148,0.938796296,66.93333333,72.93333333,-4.5,1
14,01/01/20 01:00:00 PM,1.5065248,3.896698667,49.75,0.801388889,0.563148148,73.13333333,30.61666667,-3.703703704,1
15,01/01/20 02:00:00 PM,1.1712448,3.3393888,46.46666667,0.250185185,0.217777778,77.28333333,11.46666667,-3.296296296,1
16,01/01/20 03:00:00 PM,1.3947648,3.618043733,52.33333333,0.402407407,0.471388889,73.88333333,5.616666667,-3.666666667,1
17,01/01/20 04:00:00 PM,1.6719296,3.506283733,50.46666667,0.342314815,0.462222222,70.01666667,1.033333333,-4.388888889,1
18,01/01/20 05:00:00 PM,1.227869867,3.229118933,49.05,0.241111111,0.397685185,68.36666667,0.6,-4.768518519,1
19,01/01/20 06:00:00 PM,1.0013696,2.670318933,44.83333333,0.018518518,0.166666667,65.78333333,0.6,-5.481481482,1
20,01/01/20 07:00:00 PM,0.8359648,2.7805888,239.0833333,-0.986666667,-0.568148148,65.13333333,0.6,-6.296296296,1
21,01/01/20 08:00:00 PM,1.002859733,2.279904,242.85,-1.441203704,-0.986759259,65.28333333,0.6,-6.648148148,1
22,01/01/20 09:00:00 PM,0.722714667,1.7814544,139.8333333,-1.856851852,-1.294259259,65.31666667,0.6,-6.962962963,1
